,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Codrington,75,AU,1565886703,93,-28.95,153.24,59.0,8.05
1,Tuktoyaktuk,90,CA,1565886704,93,69.44,-133.03,41.0,25.28
2,Chokurdakh,53,RU,1565886704,73,70.62,147.9,40.84,11.77
3,Kozan,75,TR,1565886705,70,37.45,35.82,84.2,10.29
4,Hobart,75,AU,1565886705,81,-42.88,147.33,52.0,5.82
5,Nhulunbuy,1,AU,1565886705,94,-12.18,136.78,71.6,4.7
6,Seddon,75,AU,1565886706,54,-37.81,144.89,60.01,17.22
7,Narsaq,20,GL,1565886706,38,60.91,-46.05,59.0,9.17
8,Salaga,48,GH,1565886707,84,8.55,-0.52,79.18,4.14
9,Bathsheba,40,BB,1565886707,66,13.22,-59.52,89.6,24.16
10,Jamestown,61,AU,1565886707,28,-33.21,138.6,50.38,8.61
11,Hilo,90,US,1565886708,83,19.71,-155.08,73.4,3.36
12,Bluff,93,AU,1565886708,80,-23.58,149.07,59.92,8.57
13,Port Alfred,0,ZA,1565886709,83,-33.59,26.89,57.99,1.86
14,Kautokeino,100,NO,1565886709,88,69.01,23.04,52.0,9.1
15,Englehart,75,CA,1565886709,56,47.82,-79.87,68.0,4.7
16,Arraial do Cabo,75,BR,1565886710,56,-22.97,-42.02,69.8,16.11
17,Souillac,90,FR,1565886710,56,45.6,-0.6,72.0,12.75
18,Gat,75,SN,1565886710,50,14.69,-16.54,95.0,9.17
19,Rikitea,16,PF,1565886709,85,-23.12,-134.97,74.5,15.86
20,New Norfolk,75,AU,1565886711,81,-42.78,147.06,52.0,5.82
21,Salalah,90,OM,1565886705,100,17.01,54.1,77.0,5.82
22,Port-Gentil,75,GA,1565886712,78,-0.72,8.78,78.8,11.41
23,Jambi,99,ID,1565886712,83,-1.6,103.62,75.58,2.57
24,Atuona,22,PF,1565886713,75,-9.8,-139.03,79.36,15.48
25,Cherskiy,0,RU,1565886713,84,68.75,161.3,36.7,5.37
26,Ponta do Sol,0,BR,1565886714,45,-20.63,-46.0,71.08,9.53
27,Riyadh,0,SA,1565886714,11,24.63,46.72,104.0,10.29
28,Port Hardy,75,CA,1565886715,77,50.7,-127.42,60.8,3.36
29,Clyde River,75,CA,1565886705,87,70.47,-68.59,44.6,5.82
30,Lebu,75,ET,1565886700,77,8.96,38.73,64.4,4.7
31,Goderich,73,CA,1565886715,70,43.74,-81.71,72.0,5.97
32,Nanortalik,73,GL,1565886716,92,60.14,-45.24,38.86,6.17
33,Mataura,100,NZ,1565886716,82,-46.19,168.86,45.0,7.0
34,Ekibastuz,87,KZ,1565886716,71,51.72,75.32,62.8,5.28
35,Rosetta,0,EG,1565886717,62,31.4,30.42,86.0,10.29
36,Haimen,0,CN,1565886717,82,31.87,121.18,84.0,1.01
37,Port Elizabeth,75,US,1565886718,78,39.31,-74.98,82.99,10.29
38,Padang,75,ID,1565886718,85,-0.92,100.36,81.7,18.59
39,Palmer,0,AU,1565886719,77,-34.85,139.16,60.01,11.41
40,Nikolskoye,20,RU,1565886719,72,59.7,30.79,62.6,13.42
41,Tura,4,RU,1565886720,82,64.27,100.22,44.98,2.75
42,Cape Town,20,ZA,1565886436,87,-33.93,18.42,63.0,13.87
43,Forbes,0,AU,1565886720,68,-33.38,148.01,39.99,4.52
44,Yar-Sale,80,RU,1565886721,92,66.83,70.83,54.16,6.93
45,Kamenka,84,MD,1565886721,84,48.03,28.7,57.99,8.01
46,Busselton,77,AU,1565886722,71,-33.64,115.35,51.01,23.47
47,Dingle,100,PH,1565886722,88,11.0,122.67,74.5,4.85
48,Torbay,20,CA,1565886702,63,47.66,-52.73,70.0,14.99
49,Yellowknife,75,CA,1565886459,87,62.45,-114.38,57.0,9.17
50,Puerto Ayora,40,EC,1565886724,65,-0.74,-90.35,77.0,23.04
51,Guerrero Negro,9,MX,1565886725,77,27.97,-114.04,69.1,8.66
52,Albany,40,US,1565886725,57,42.65,-73.75,81.0,2.93
53,Puerto Leguizamo,71,CO,1565886727,69,-0.19,-74.78,82.6,3.65
54,Pangnirtung,75,CA,1565886727,71,66.15,-65.72,55.4,18.34
55,Guatire,75,VE,1565886728,69,10.47,-66.54,82.4,2.24
56,Georgetown,40,GY,1565886506,74,6.8,-58.16,87.8,13.87
57,Hermanus,0,ZA,1565886729,87,-34.42,19.24,60.01,7.45
58,Mastung,0,PK,1565886729,15,29.8,66.85,82.24,6.26
59,Vila,20,IT,1565886731,42,45.18,8.4,84.0,6.93
60,Vao,1,EE,1565886731,77,59.1,26.19,56.5,7.81
61,Nouakchott,60,MR,1565886732,58,18.08,-15.98,87.8,14.99
62,Matara,31,BI,1565886733,57,-3.48,29.48,53.98,0.76
63,Zmeinogorsk,84,RU,1565886734,81,51.15,82.2,61.0,5.28
64,Hithadhoo,96,MV,1565886734,69,-0.6,73.08,83.5,6.64
65,Suntar,100,RU,1565886735,96,62.16,117.65,56.86,7.85
66,Butaritari,100,KI,1565886735,68,3.07,172.79,84.04,9.93
67,Otsuki,90,JP,1565886735,88,35.64,138.92,84.0,17.22
68,Avarua,1,CK,1565886484,78,-21.21,-159.78,71.6,1.12
69,Tole,75,CM,1565886736,83,4.11,9.25,80.6,4.7
70,Houma,14,CN,1565886736,31,35.63,111.36,79.18,3.44
71,Khatanga,100,RU,1565886698,55,71.98,102.47,50.56,7.36
72,Thompson,75,CA,1565886589,87,55.74,-97.86,60.8,4.7
73,Ushuaia,75,AR,1565886701,74,-54.81,-68.31,39.2,25.28
74,Astoria,90,US,1565886590,77,46.19,-123.83,66.0,6.93
75,Brae,40,GB,1565886738,71,60.4,-1.35,57.2,24.16
76,Punta Arenas,40,CL,1565886697,62,-53.16,-70.91,37.4,16.11
77,Saint George,75,GR,1565886738,88,39.45,22.34,84.0,13.87
78,Sofiyivka,75,UA,1565886739,83,48.05,33.87,71.6,2.24
79,Santiago,60,PH,1565886723,82,16.69,121.54,74.32,3.67
80,Vardo,75,US,1565886735,74,39.62,-77.74,82.4,5.82
81,Araouane,59,ML,1565886741,24,18.9,-3.53,100.6,9.28
82,Barrow,100,AR,1565886741,46,-38.31,-60.23,57.04,6.8
83,Qaanaaq,0,GL,1565886697,37,77.48,-69.36,45.52,2.73
84,Carinhanha,27,BR,1565886742,31,-14.3,-43.77,85.48,9.48
85,Nizhniy Kuranakh,56,RU,1565886743,95,58.84,125.49,48.04,2.3
86,Sao Filipe,58,CV,1565886737,83,14.9,-24.5,76.12,23.06
87,Hayden,20,US,1565886601,63,47.77,-116.79,68.0,5.21
88,Burns Lake,94,CA,1565886745,63,54.23,-125.76,59.74,7.11
89,Norman Wells,75,CA,1565886713,81,65.28,-126.83,53.6,12.75
90,Kapaa,75,US,1565886745,83,22.08,-159.32,80.6,10.29
91,Ketchikan,90,US,1565886746,77,55.34,-131.65,62.6,6.93
92,San Quintin,100,PH,1565886746,88,17.54,120.52,76.12,6.24
93,Xianyang,0,CN,1565886747,69,34.31,108.72,73.4,2.24
94,Owando,92,CG,1565886748,67,-0.49,15.91,80.26,5.08
95,Saint-Philippe,1,CA,1565886749,43,45.36,-73.48,75.2,6.93
96,Neiafu,75,TO,1565886749,94,-18.65,-173.98,71.6,2.24
97,Wajir,0,KE,1565886750,35,1.75,40.07,86.0,13.87
98,Byron Bay,90,AU,1565886751,67,-28.65,153.62,59.0,1.12
99,Bethel,90,US,1565886735,93,60.79,-161.76,53.6,13.87
100,Mattru,100,SL,1565886752,99,7.62,-11.83,73.06,1.81
101,Kanakapura,75,IN,1565886752,88,12.54,77.42,73.4,4.7
102,Saldanha,0,PT,1565886731,27,41.42,-6.55,86.56,12.12
